date,time,station,price
"2026-03-02","10:20","Stockholm Nacka Orminge","609 kr"
"2026-03-02","10:30","Stockholm Högdalen","599 kr"
"2026-03-02","10:30","Stockholm Segeltorp","789 kr"
"2026-03-02","10:30","Stockholm Bromma","719 kr"
"2026-03-02","10:40","Stockholm Högdalen","599 kr"
"2026-03-02","10:40","Stockholm Segeltorp","789 kr"
"2026-03-02","10:40","Stockholm Nacka Orminge","609 kr"
"2026-03-02","10:50","Stockholm Högdalen","599 kr"
"2026-03-02","10:50","Stockholm Segeltorp","789 kr"
"2026-03-02","10:50","Stockholm Bromma","719 kr"
"2026-03-02","11:00","Stockholm Nacka Orminge","619 kr"
"2026-03-02","11:20","Stockholm Nacka Orminge","619 kr"
"2026-03-02","11:30","Stockholm Liljeholmen Bergrumsgaraget","589 kr"
"2026-03-02","11:30","Stockholm Högdalen","619 kr"
"2026-03-02","11:40","Stockholm Bromma","719 kr"
"2026-03-02","11:40","Stockholm Nacka Orminge","619 kr"
"2026-03-02","11:50","Stockholm Högdalen","619 kr"
"2026-03-02","11:50","Stockholm Segeltorp","789 kr"
"2026-03-02","12:10","Stockholm Högdalen","599 kr"
"2026-03-02","12:10","Stockholm Segeltorp","789 kr"
"2026-03-02","12:20","Stockholm Högdalen","599 kr"
"2026-03-02","12:20","Stockholm Segeltorp","789 kr"
"2026-03-02","12:20","Stockholm Nacka Orminge","609 kr"
"2026-03-02","12:30","Stockholm Liljeholmen Bergrumsgaraget","519 kr"
"2026-03-02","12:30","Stockholm Högdalen","599 kr"
"2026-03-02","12:30","Stockholm Segeltorp","789 kr"
"2026-03-02","12:40","Stockholm Högdalen","599 kr"
"2026-03-02","12:40","Stockholm Bromma","719 kr"
"2026-03-02","12:40","Stockholm Nacka Orminge","609 kr"
"2026-03-02","12:45","Stockholm Liljeholmen Bergrumsgaraget","519 kr"
"2026-03-02","12:50","Stockholm Högdalen","599 kr"
"2026-03-02","12:50","Stockholm Segeltorp","789 kr"
"2026-03-02","12:50","Stockholm Bromma","719 kr"
"2026-03-02","13:00","Stockholm Liljeholmen Bergrumsgaraget","519 kr"
"2026-03-02","13:00","Stockholm Högdalen","599 kr"
"2026-03-02","13:00","Stockholm Nacka Orminge","609 kr"
"2026-03-02","13:10","Stockholm Högdalen","599 kr"
"2026-03-02","13:10","Stockholm Segeltorp","789 kr"
"2026-03-02","13:20","Stockholm Högdalen","599 kr"
"2026-03-02","13:20","Stockholm Segeltorp","789 kr"
"2026-03-02","13:20","Stockholm Bromma","719 kr"
"2026-03-02","13:20","Stockholm Nacka Orminge","609 kr"
"2026-03-02","13:30","Stockholm Liljeholmen Bergrumsgaraget","519 kr"
"2026-03-02","13:30","Stockholm Högdalen","599 kr"
"2026-03-02","13:30","Stockholm Segeltorp","789 kr"
"2026-03-02","13:30","Stockholm Bromma","719 kr"
"2026-03-02","13:30","Stockholm Kista Galleria","739 kr"
"2026-03-02","13:40","Stockholm Högdalen","599 kr"
"2026-03-02","13:40","Stockholm Segeltorp","789 kr"
"2026-03-02","13:40","Stockholm Bromma","719 kr"
"2026-03-02","13:40","Stockholm Nacka Orminge","609 kr"
"2026-03-02","13:45","Stockholm Liljeholmen Bergrumsgaraget","519 kr"
"2026-03-02","13:50","Stockholm Högdalen","599 kr"
"2026-03-02","13:50","Stockholm Segeltorp","789 kr"
"2026-03-02","13:50","Stockholm Bromma","719 kr"
"2026-03-02","14:00","Stockholm Liljeholmen Bergrumsgaraget","549 kr"
"2026-03-02","14:00","Stockholm Högdalen","599 kr"
"2026-03-02","14:00","Stockholm Segeltorp","789 kr"
"2026-03-02","14:00","Stockholm Nacka Orminge","609 kr"
"2026-03-02","14:10","Stockholm Högdalen","599 kr"
"2026-03-02","14:20","Stockholm Högdalen","599 kr"
"2026-03-02","14:20","Stockholm Segeltorp","789 kr"
"2026-03-02","14:20","Stockholm Nacka Orminge","609 kr"
"2026-03-02","14:30","Stockholm Liljeholmen Bergrumsgaraget","549 kr"
"2026-03-02","14:30","Stockholm Högdalen","599 kr"
"2026-03-02","14:30","Stockholm Segeltorp","789 kr"
"2026-03-02","14:40","Stockholm Högdalen","599 kr"
